"filename", "language", "CMake", "CMakeCache", "Excel", "comment", "blank", "total"
"/home/xkyin/Work/AscendTikNTT/Cuda/build/example/CMakeFiles/tensor_7_example.dir/cmake_clean.cmake", "CMake", 9, 0, 0, 1, 2, 12
"/home/xkyin/Work/AscendTikNTT/Cuda/build/example/cmake_install.cmake", "CMake", 27, 0, 0, 6, 7, 40
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 7, 0, 0, 5, 5, 17
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/cmake_install.cmake", "CMake", 32, 0, 0, 7, 9, 48
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/common/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 7, 0, 0, 5, 5, 17
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/common/cmake_install.cmake", "CMake", 31, 0, 0, 7, 9, 47
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/common/include/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 7, 0, 0, 5, 5, 17
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/common/include/cmake_install.cmake", "CMake", 27, 0, 0, 6, 7, 40
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/common/lib/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 7, 0, 0, 5, 5, 17
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/common/lib/CMakeFiles/common.dir/DependInfo.cmake", "CMake", 14, 0, 0, 5, 4, 23
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/common/lib/CMakeFiles/common.dir/cmake_clean.cmake", "CMake", 9, 0, 0, 1, 2, 12
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/common/lib/CMakeFiles/common.dir/cmake_clean_target.cmake", "CMake", 3, 0, 0, 0, 1, 4
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/common/lib/cmake_install.cmake", "CMake", 27, 0, 0, 6, 7, 40
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/merge_ntt/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 7, 0, 0, 5, 5, 17
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/merge_ntt/cmake_install.cmake", "CMake", 31, 0, 0, 7, 9, 47
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/merge_ntt/include/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 7, 0, 0, 5, 5, 17
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/merge_ntt/include/cmake_install.cmake", "CMake", 27, 0, 0, 6, 7, 40
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/merge_ntt/lib/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 7, 0, 0, 5, 5, 17
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/merge_ntt/lib/CMakeFiles/merge_ntt.dir/DependInfo.cmake", "CMake", 16, 0, 0, 5, 4, 25
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/merge_ntt/lib/CMakeFiles/merge_ntt.dir/cmake_clean.cmake", "CMake", 9, 0, 0, 1, 2, 12
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/merge_ntt/lib/CMakeFiles/merge_ntt.dir/cmake_clean_target.cmake", "CMake", 3, 0, 0, 0, 1, 4
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/merge_ntt/lib/cmake_install.cmake", "CMake", 27, 0, 0, 6, 7, 40
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/tensor_ntt/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 7, 0, 0, 5, 5, 17
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/tensor_ntt/cmake_install.cmake", "CMake", 31, 0, 0, 7, 9, 47
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/tensor_ntt/include/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 7, 0, 0, 5, 5, 17
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/tensor_ntt/include/cmake_install.cmake", "CMake", 27, 0, 0, 6, 7, 40
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/tensor_ntt/lib/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 7, 0, 0, 5, 5, 17
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/tensor_ntt/lib/CMakeFiles/tensor_ntt.dir/DependInfo.cmake", "CMake", 23, 0, 0, 5, 4, 32
